descricao,sigla,id
ASSESSORIA PARA ASSUNTOS INSTITUCIONAIS,ARA,40
ASSESSORIA DE CONCESSOES E PARCERIAS,ARC,114
ASSESSORIA DE GESTAO ESTRATEGICA EMPRESARIAL,ARE,94
CESSAO SECRETARIA TRANSPORTES METROPOLITANOS,CED,50
CESSAO CIA DO METROPOLITANO DE SAO PAULO,CED,66
CESSAO EMPRESA METROPOLITANA TRANSP URBANOS,CED,67
CESSAO CASA CIVIL GOVERNO ESTADO SAO PAULO,CED,68
CESSAO SIND TRAB EMPRESAS FERROV SAO PAULO,CED,69
CESSAO SIND TRAB EMPRESAS FERROV ZONA SOROCABANA,CED,70
CESSAO SIND TRAB EMPRESAS FERROV ZONA CENTRAL DO BRASIL,CED,103
CESSAO SIND ENGENHEIROS NO ESTADO DE SP,CED,383
CESSAO CIA DE SANEAMENTO BASICO DO ESTADO DE SP,CED,513
DEPARTAMENTO DE MEIO AMBIENTE - EMPREENDIMENTOS,DEAE,263
DEPARTAMENTO DE MEIO AMBIENTE - OPERACAO,DEAO,264
DEPARTAMENTO DE OBRAS CIVIS - EXPANSAO LINHA 9,DEDC,260
DEPARTAMENTO DE MONTAGEM DE VP E REDE AEREA - EXPANSAO LINHA 9,DEDM,261
DEPARTAMENTO DE IMPLANTACAO DE SISTEMAS - EXPANSAO LINHA 9,DEDS,262
DEPARTAMENTO DE OBRAS CIVIS,DEOC,259
DEPARTAMENTO DE PROJETOS DE INFRAESTRUTURA,DEPI,255
DEPARTAMENTO DE PROJETOS DE EDIFICACOES,DEPI,256
DEPARTAMENTO DE PROJETOS DE INSTALACOES E SISTEMAS,DEPS,257
DEPARTAMENTO DE CONSISTENCIA E INOVACAO DE PROJETOS,DEPS,258
DEPARTAMENTO DE SINALIZACAO E TELECOMUNICACOES,DETA,265
DEPARTAMENTO DE SISTEMAS DE ENERGIA,DETE,266
DEPARTAMENTO DE PROJETOS DE IMPLANTACAO DE SISTEMAS,DETO,267
LOGISTICA ADM-B VISTA,DFAL,145
EXPEDIÇÃO - PRES ALTINO,DFAL,146
LOGISTICA ADM-RODOVIARIO - PRES ALT,DFAL,147
ARQUIVO ADMINISTRATIVO - LAPA,DFAL,148
GESTAO DE DOCUMENTOS,DFAL,167
DEPTO DE LOGISTICA ADMINISTRATIVA,DFAL,182
ARQUIVO TÉCNICO - PRES ALT,DFAL,183
EXPEDICAO-BOA VISTA,DFAL,218
EXPEDICAO - LAPA,DFAL,219
